Assembly,Parliamentary Year,Term,Session No.,Sitting No.,Representative,Bill,Bill Type,Standing Committee,
National,4,15,39,6,Noor-ul-Haq Qadri[PTI],"The Pakistan Ruet-e-Hilal Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,39,6,Zaheer-ud-Din Babar Awan[PTI],"The Federal Employees Benevolent Fund and Group Insurance (Amendment) Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,39,6,Zaheer-ud-Din Babar Awan[PTI],"The Islamabad Healthcare Regulation Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,39,6,Sheikh Rasheed Ahmad[AMLP],"The Islamabad Capital Territory Trust (Amendment) Ordinance, 2021, (Ordinance No. XXVII of 2021)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,39,6,Makhdoom Shah Mahmood Qureshi[PTI],"The National Diplomatic and Consular Officers (Oath and Fees) (Amendment) Ordinance, 2021, (Ordinance No. XXIV of 2021)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,39,6,Shafqat Mehmood[PTI],"The National Rahmatul-Lil-Aalameen Authority Ordinance, 2021 (Ordinance No. XXV of 2021)
[Support]",Government,Not Applicable,Not Taken Up
National,3,15,34,18,Shaukat Fayaz Ahmed Tarin[PTI],"The Finance Bill, 2021",Government,Not Applicable,Passed
National,3,15,35,13,James Iqbal[MMA],"The Criminal Laws (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Riaz Fatyana[PTI],"The Aiwan-i-Zarat Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Ms. Nafisa Shah[PPPP],"The Constitution (Amendment) Bill, 2020 (Amendment in Article-25)
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Syed Javed Hassnain[PML-N],"The Limitation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Mohsin Javed[IND],"The Islamabad Community Integration Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Mohsin Javed[IND],"The Post Office Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Shazia Marri[PPPP],"The Child Marriage Restraint (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Jam Abdul Karim Bijar[PPPP],"The Civil Servants (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,3,15,35,13,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Capital Territory Destitute and Neglected Children Bill, 2021
[Support]",Private,Not Applicable,Introduced
National,3,15,35,13,Uzma Riaz[PTI],"The Contractors Registration Bill, 2021
[Support]",Private,Not Applicable,Deferred
National,3,15,35,13,Uzma Riaz[PTI],"The Pakistan Medical Commission (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Introduced
National,3,15,35,13,Iqbal Muhammad Ali Khan[MQM],"The Memon University at Islamabad Bill, 2021
[Support]",Private,Not Applicable,Deferred
National,3,15,35,13,Uzma Riaz[PTI],"The Drug Regulatory Authority (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Introduced
National,3,15,35,13,Jai Parkash[PTI],"The Constitution (Amendment) Bill, 2021 (Amendment in Article 59)
[Support]",Private,Not Applicable,Introduced
National,3,15,35,13,Sajida Begum[PTI],"The Trade Organizations (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Introduced
National,3,15,35,13,Nusrat Wahid[PTI],"The Constitution (Amendment) Bill, 2021 (Amendment in Article-27)
[Support]",Private,Not Applicable,Introduced
National,3,15,35,13,Mohsin Javed[IND],"The Constitution (Amendment) Bill, 2021 (Amendment in Article 54)
[Support]",Private,Not Applicable,Deferred
National,4,15,38,7,Syed Javed Hassnain[PML-N],"The Specific Relief (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Syed Rafiullah[PPPP],"The Port Qasim Authority (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,James Iqbal[MMA],"The Criminal Laws (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Riaz Fatyana[PTI],"The Aiwan-i-Zarat Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Ms. Nafisa Shah[PPPP],"The Constitution (Amendment) Bill, 2020 (Amendment in Article-25)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Syed Javed Hassnain[PML-N],"The Limitation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Engineer Sabir Hussain[MQM],"The Pakistan Courier and Logistics Regulatory Authority Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Mohsin Javed[IND],"The Islamabad Community Integration Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Mohsin Javed[IND],"The Post Office Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Shazia Marri[PPPP],"The Child Marriage Restraint (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Kesoo Mal Kheeal Das[PML-N],"The Employment of Children (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Uzma Riaz[PTI],"The Right to Free and Compulsory Education (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Iqbal Muhammad Ali Khan[MQM],"The Memon University Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Nusrat Wahid[PTI],"The Registration (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Naveed Aamir[PPPP],"The Control of Narcotic Substances (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Uzma Riaz[PTI],"The ICT Tuberculosis (Notification) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Faheem Khan[PTI],"The Islamabad Capital Territory Senior Citizens (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Nooreen Farooq Khan[PTI],"The Criminal Laws (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Taken Back
National,4,15,38,7,Kesoo Mal Kheeal Das[PML-N],"The Federal Public Service Commission (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Mrs. Mahreen Razaque Bhutto[PPPP],"The Acid and Burn Crime Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Muhammad Aslam Khan[PTI],"The Provincial Motor Vehicles (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,"Raja Khurram Shahzad Nawaz[PTI]
Asma Hadeed[PTI]
Nafeesa Inayatullah Khan Khattak[PTI]
Farrukh Khan[PML]
Ali Nawaz Awan[PTI]","The Islamabad Water Conservation Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Naveed Aamir[PPPP],"The National Database and Registration Authority (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Amjid Ali Khan[PTI],"The Riast-e-Madina Authority Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,7,Muhammad Aslam Khan[PTI],"The Prevention of Electronic Crimes Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,38,8,Shaukat Fayaz Ahmed Tarin[PTI],"The Securities and Exchange Commission of Pakistan (Amendment) Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,38,8,Zaheer-ud-Din Babar Awan[PTI],"The Public Procurement Regulatory Authority (Amendment) Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,38,8,Zaheer-ud-Din Babar Awan[PTI],"The Islamabad Healthcare Regulation Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,38,8,Shafqat Mehmood[PTI],"The National Rahmatul-Lil-Aalameen Authority Ordinance, 2021 (Ordinance No. XXV of 2021)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,2,Zaheer-ud-Din Babar Awan[PTI],"The Elections (Amendment) Ordinance, 2022 (No. I of 2022)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,2,Sheikh Rasheed Ahmad[AMLP],"The National Database and Registration Authority (Amendment) Ordinance, 2021 (No. XXX of 2021)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,2,Zaheer-ud-Din Babar Awan[PTI],"The Elections (Second Amendment) Bill, 2022
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,2,Makhdoom Shah Mahmood Qureshi[PTI],"The Constitution (26th Amendment) Bill, 2022
[Support]",Government,Not Applicable,Introduced
National,4,15,41,3,Zaheer-ud-Din Babar Awan[PTI],"The Elections (Amendment) Ordinance, 2022 (No. I of 2022)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,3,Sheikh Rasheed Ahmad[AMLP],"The National Database and Registration Authority (Amendment) Ordinance, 2021 (No. XXX of 2021)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,3,Zaheer-ud-Din Babar Awan[PTI],"The Elections (Second Amendment) Bill, 2022
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,4,Zaheer-ud-Din Babar Awan[PTI],"The Elections (Amendment) Ordinance, 2022 (No. I of 2022)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,4,Sheikh Rasheed Ahmad[AMLP],"The National Database and Registration Authority (Amendment) Ordinance, 2021 (No. XXX of 2021)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,4,Zaheer-ud-Din Babar Awan[PTI],"The Elections (Second Amendment) Bill, 2022
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,41,10,Murtaza Javed Abbasi[PML-N],"The Constitution (Amendment) Bill, 2020 (Amendment in Article- 1, 51, 59, 106, 154, 175A, 198 and 218)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Nafeesa Inayatullah Khan Khattak[PTI],"The Federal Newborn Screening Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Capital Territory Child Protection (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Nafeesa Inayatullah Khan Khattak[PTI],"The Trafficking of Persons (Prevention, Protection and Rehabilitation) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Nafeesa Inayatullah Khan Khattak[PTI],"The Prevention of Smuggling of Migrants (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Nafeesa Inayatullah Khan Khattak[PTI],"The Criminal Law (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Syed Javed Hassnain[PML-N],"The Specific Relief (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Syed Rafiullah[PPPP],"The Port Qasim Authority (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,"Moulana Abdul Akbar Chitrali[MMA]
James Iqbal[MMA]","The Criminal Laws (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Riaz Fatyana[PTI],"The Aiwan-i-Zarat Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Ms. Nafisa Shah[PPPP],"The Constitution (Amendment) Bill, 2020 (Amendment in Article-25)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Syed Javed Hassnain[PML-N],"The Limitation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Syed Naveed Qamar[PPPP],"The Code of Criminal Procedure (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Syed Naveed Qamar[PPPP],"The Code of Criminal Procedure (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Sher Ali Arbab[PTI],"The Islamabad Rent Restriction (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Sher Ali Arbab[PTI],"The Factories (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Engineer Sabir Hussain[MQM],"The Pakistan Courier and Logistics Regulatory Authority Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Mohsin Javed[IND],"The Islamabad Community Integration Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Shazia Marri[PPPP],"The Child Marriage Restraint (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Sajida Begum[PTI],"The Trade Organizations (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,"Nafeesa Inayatullah Khan Khattak[PTI]
Shandana Gulzar Khan[PTI]","The Protection against Harassment of Women at the Workplace (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,"Nafeesa Inayatullah Khan Khattak[PTI]
Shandana Gulzar Khan[PTI]","The Pakistan Penal Code (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Nusrat Wahid[PTI],"The Registration (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Kesoo Mal Kheeal Das[PML-N],"The Federal Public Service Commission (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Syed Javed Hassnain[PML-N],"The Constitution (Amendment) Bill, 2022 (Amendment in Article-54)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Mrs. Shahida Rehmani[PPPP],"The Islamabad (Preservation of Landscape) (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Faheem Khan[PTI],"The Islamabad Capital Territory Senior Citizens (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Iqbal Muhammad Ali Khan[MQM],"The Memon University Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,"Syed Naveed Qamar[PPPP]
Naveed Aamir[PPPP]","The Control of Narcotic Substances (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Mrs. Shahida Rehmani[PPPP],"The Muslim Family Laws (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,"Rana Iradat Sharif Khan[PML-N]
Uzma Riaz[PTI]","The Elections (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Uzma Riaz[PTI],"The Right to Free and Compulsory Education (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Naveed Aamir[PPPP],"The National Database and Registration Authority (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,"Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Dr. Khalid Maqbool Siddiqui[MQM]
Usama Qadri[MQM]
Jai Parkash[PTI]
James Iqbal[MMA]","The Constitution (Amendment) Bill, 2022 (Amendment in Article - 140 - A)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,"Tahira Aurangzeb[PML-N]
Rao Muhammad Ajmal Khan[PML-N]
Asma Hadeed[PTI]
Romina Khurshid Alam[PML-N]
Fauzia Behram[PTI]
Kiran Imran[PML-N]
Dr. Seemin Abdul Rehman Bokhari[PTI]
Mrs. Shahida Rehmani[PPPP]","The Criminal Laws (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Uzma Riaz[PTI],"The Fiscal Responsibility and Debt Limitation (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Muhammad Aslam Khan[PTI],"The Prevention of Electronic Crimes (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Amjid Ali Khan[PTI],"The Riast-e-Madina Authority Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Nafeesa Inayatullah Khan Khattak[PTI],"The Pakistan International University Lahore Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Qadir Khan Mandokhail[PPPP],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Kesoo Mal Kheeal Das[PML-N],"The Employment of Children (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Syed Hussain Tariq[PPPP],"The Constitution (Amendment) Bill, 2022 (Amendment in Article- 84)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Qadir Khan Mandokhail[PPPP],"The Civil Servants (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Muhammad Aslam Khan[PTI],"The Provincial Motor Vehicles (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Uzma Riaz[PTI],"The Board of Investment (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Mrs. Shahida Rehmani[PPPP],"The Pakistan Environmental Protection (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Kishwer Zehra[MQM],"The Constitution (Amendment) Bill, 2022 (Amendment in Article- 51-59)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,41,10,Ali Gohar Khan[PML-N],"The Pre-Legislative Consultation Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,1,Ahsan Iqbal[PML-N],"The General Statistics (Re-Organization) (Amendment) Ordinance, 2022 (Ordinance No.III of 2022)
[Support]",Government,Not Applicable,Laid
National,4,15,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Federal Newborn Screening Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Capital Territory Child Protection (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Trafficking of Persons (Prevention, Protection and Rehabilitation) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Prevention of Smuggling of Migrants (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Criminal Law (Amendment) Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Syed Javed Hassnain[PML-N],"The Specific Relief (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Syed Rafiullah[PPPP],"The Port Qasim Authority (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,"Moulana Abdul Akbar Chitrali[MMA]
James Iqbal[MMA]","The Criminal Laws (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Riaz Fatyana[PTI],"The Aiwan-i-Zarat Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Ms. Nafisa Shah[PPPP],"The Constitution (Amendment) Bill, 2020 (Amendment in Article-25)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Syed Javed Hassnain[PML-N],"The Limitation (Amendment) Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Sher Ali Arbab[PTI],"The Islamabad Rent Restriction (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Sher Ali Arbab[PTI],"The Factories (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Engineer Sabir Hussain[MQM],"The Pakistan Courier and Logistics Regulatory Authority Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Mohsin Javed[IND],"The Islamabad Community Integration Bill, 2020
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Sajida Begum[PTI],"The Trade Organizations (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,"Syed Sajid Mehdi[PML-N]
Dr. Muhammad Afzal Khan Dhandla[PTI]
Choudhary Faqir Ahmad[PML-N]","The Unani, Ayurvedic and Homeopathic Practitioners (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,"Nafeesa Inayatullah Khan Khattak[PTI]
Shandana Gulzar Khan[PTI]","The Protection against Harassment of Women at the Workplace (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,"Nafeesa Inayatullah Khan Khattak[PTI]
Shandana Gulzar Khan[PTI]","The Pakistan Penal Code (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Nusrat Wahid[PTI],"The Registration (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Kesoo Mal Kheeal Das[PML-N],"The Federal Public Service Commission (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Syed Javed Hassnain[PML-N],"The Constitution (Amendment) Bill, 2022 (Amendment in Article-54)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Mrs. Shahida Rehmani[PPPP],"The Islamabad (Preservation of Landscape) (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Faheem Khan[PTI],"The Islamabad Capital Territory Senior Citizens (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Naveed Aamir[PPPP],"The Control of Narcotic Substances (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Mrs. Shahida Rehmani[PPPP],"The Muslim Family Laws (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,"Rana Iradat Sharif Khan[PML-N]
Noor Alam Khan[PTI]
Uzma Riaz[PTI]","The Elections (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Uzma Riaz[PTI],"The Right to Free and Compulsory Education (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Naveed Aamir[PPPP],"The National Database and Registration Authority (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,"Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Dr. Khalid Maqbool Siddiqui[MQM]
Usama Qadri[MQM]
Jai Parkash[PTI]
James Iqbal[MMA]","The Constitution (Amendment) Bill, 2022 (Amendment in Article - 140 - A)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,"Tahira Aurangzeb[PML-N]
Rao Muhammad Ajmal Khan[PML-N]
Choudhary Faqir Ahmad[PML-N]
Asma Hadeed[PTI]
Romina Khurshid Alam[PML-N]
Fauzia Behram[PTI]
Kiran Imran[PML-N]
Dr. Seemin Abdul Rehman Bokhari[PTI]
Mrs. Shahida Rehmani[PPPP]","The Criminal Laws (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Uzma Riaz[PTI],"The Fiscal Responsibility and Debt Limitation (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Muhammad Aslam Khan[PTI],"The Prevention of Electronic Crimes (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Amjid Ali Khan[PTI],"The Riast-e-Madina Authority Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Pakistan International University Lahore Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Qadir Khan Mandokhail[PPPP],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Kesoo Mal Kheeal Das[PML-N],"The Employment of Children (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Syed Hussain Tariq[PPPP],"The Constitution (Amendment) Bill, 2022 (Amendment in Article-84)
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Qadir Khan Mandokhail[PPPP],"The Civil Servants (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Muhammad Aslam Khan[PTI],"The Provincial Motor Vehicles (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Uzma Riaz[PTI],"The Board of Investment (Amendment) Bill, 2022
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,2,Ali Gohar Khan[PML-N],"The Pre-Legislative Consultation Bill, 2022
[Support]",Private,Not Applicable,Rejected
National,4,15,42,2,Kishwer Zehra[MQM],"The Constitution (Amendment) Bill, 2022 (Amendment in Article- 51-59)
[Support]",Private,Not Applicable,Introduced
National,4,15,42,3,Murtaza Javed Abbasi[PML-N],"The Elections (Amendment) Ordinance, 2022 (Ordinance No. I of 2022)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,42,4,Rana Tanveer Hussain[PML-N],"The Pakistan Global Institute Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,42,4,Murtaza Javed Abbasi[PML-N],"The Elections (Amendment) Ordinance, 2022 (Ordinance No. I of 2022)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,42,5,Rana Tanveer Hussain[PML-N],"The Pakistan Global Institute Bill, 2021
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,42,5,Murtaza Javed Abbasi[PML-N],"The Elections (Amendment) Ordinance, 2022 (Ordinance No. I of 2022)
[Support]",Government,Not Applicable,Not Taken Up
National,4,15,42,6,Murtaza Javed Abbasi[PML-N],"The Elections (Amendment) Ordinance, 2022 (Ordinance No. I of 2022)
[Support]",Government,,Not Taken Up
National,4,15,42,6,Rana Tanveer Hussain[PML-N],"The Pakistan Global Institute Bill, 2021
[Support]",Government,Federal Education and Professional Training,Not Taken Up
National,4,15,42,7,Nafeesa Inayatullah Khan Khattak[PTI],"The Federal Newborn Screening Bill, 2019
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,7,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Capital Territory Child Protection (Amendment) Bill, 2020
[Support]",Private,Interior and Narcotics Control,Not Taken Up
National,4,15,42,7,Nafeesa Inayatullah Khan Khattak[PTI],"The Trafficking of Persons (Prevention, Protection and Rehabilitation) Bill, 2020
[Support]",Private,Interior and Narcotics Control,Not Taken Up
National,4,15,42,7,Nafeesa Inayatullah Khan Khattak[PTI],"The Prevention of Smuggling of Migrants (Amendment) Bill, 2020
[Support]",Private,Interior and Narcotics Control,Not Taken Up
National,4,15,42,7,Nafeesa Inayatullah Khan Khattak[PTI],"The Criminal Law (Amendment) Bil1, 2019
[Support]",Private,Interior and Narcotics Control,Not Taken Up
National,4,15,42,7,Syed Javed Hassnain[PML-N],"The Specific Relief (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
National,4,15,42,7,Syed Rafiullah[PPPP],"The Port Qasim Authority (Amendment) Bill, 2021
[Support]",Private,Not Applicable,Not Taken Up
