Id,Label,Latest_Party,Total_Bills,Government_Bills,Private_Bills
Bilawal Bhutto Zardari,Bilawal Bhutto Zardari,PPPP,3,3,0
Mehmood Khan Achakzai,Mehmood Khan Achakzai,PKMAP,3,0,3
Syed Qazim Ali Shah,Syed Qazim Ali Shah,PML-F,3,0,3
Syed Imran Ahmad Shah,Syed Imran Ahmad Shah,PML-N,3,0,3
Leila Khan,Leila Khan,PML-N,3,0,3
Muhammad Ali Rashid,Muhammad Ali Rashid,MQM,3,0,3
Munawara Bibi Baloch,Munawara Bibi Baloch,PTI,3,0,3
Tariq Fazal Chaudhry,Tariq Fazal Chaudhry,PML-N,3,0,3
Abdul Shakoor Shad,Abdul Shakoor Shad,PTI,3,3,0
Maiza Hameed,Maiza Hameed,PML-N,3,0,3
Aslam Bodla,Aslam Bodla,PML-N,3,0,3
Zahira Wadood Fatemi,Zahira Wadood Fatemi,PML-N,3,0,3
Mian Abdul Manan,Mian Abdul Manan,PML-N,3,0,3
Prince Muhammad Nawaz Allai,Prince Muhammad Nawaz Allai,PTI,3,0,3
Dr. Hafeez Ur Rehman Khan,Dr. Hafeez Ur Rehman Khan,PML-N,3,0,3
Javairia Zafar,Javairia Zafar,PTI,3,1,2
Nuzhat Pathan,Nuzhat Pathan,PTI,3,0,3
Ch. Armaghan Subhani,Ch. Armaghan Subhani,PML-N,3,0,3
Aqibullah,Aqibullah,PTI,3,0,3
Maulvi Asmatullah,Maulvi Asmatullah,MMA,3,0,3
Usman Ibrahim,Usman Ibrahim,PML-N,2,2,0
Makhdoom Syed Sami-ul-Hassan Gillani,Makhdoom Syed Sami-ul-Hassan Gillani,PTI,2,0,2
Mian Riaz Hussain Pirzada,Mian Riaz Hussain Pirzada,PML-N,2,2,0
Dr. Tariq Fazal Ch.,Dr. Tariq Fazal Ch.,PML-N,2,2,0
Abid Sher Ali,Abid Sher Ali,PML-N,2,2,0
Muhammad Alamgir Khan,Muhammad Alamgir Khan,PTI,2,0,2
