"Name","Party","Degree","EI_Index"
"Hamid Ul Haq","PTI",10,-0.8
"Ibadullah","PML-N",9,-0.75
"Gul Zafar Khan","PTI",10,-0.6
"Gul Dad Khan","PTI",10,-0.6
"Raja Osama Sarwar","PML-N",2,-1
"Ch. Muhammad Hamid Hameed","PML-N",4,-1
"Nelson Azeem","PML-N",3,0.333333333333333
"Ch. Asad Ur Rehman","PML-N",16,-0.125
"Malik Abdul Ghaffar Dogar","PML-N",16,-0.125
"Bilal Rehman","IND",16,0.875
"Abdul Kareem","PML-N",16,-0.125
"Reeta Ishwar",NA,17,NA
"Syed Amin-ul-Haque","MQM",7,-0.142857142857143
"Qamar Ud Din","JUI",14,-0.4
"Muhammad Sajjad","PML-N",10,-0.8
"Munir Khan Orakzai","MMA",12,-0.636363636363636
"Mahesh Kumar Malani","PPPP",6,0
"Sajid Khan","PTI",11,-0.272727272727273
"Bismillah Khan","IND",3,0.333333333333333
"Ihsan ul Haq Bajwa","PML-N",4,-1
"Tahira Asif","MQM",9,-1
"Syed Ayaz Ali Shah Sheerazi","PML-N",16,0.625
"Salman Hanif","PML-N",13,-0.846153846153846
"Iffat Liaqat","PML-N",13,-0.846153846153846
"Malik Shakir Bashir Awan","PML-N",4,-1
"Abdul Majeed Khan Khanan Khel","PML-N",4,-1
"Shahid Ahmad","PTI",11,-1
"Engineer Mohammad Usman Badaini","IND",10,1
"Muhammad Abubakar",NA,6,NA
"Kamal Uddin","MMA",11,-0.8
"Naz Baloch","PPPP",7,1
"Muhammad Javed Hanif Khan","MQM",4,-1
"Syed Mustafa Kamal","MQM",4,-1
"Syed Hafeezuddin","MQM",4,-1
"Sardar Riaz Mehmood Khan Mazari","PTI",3,-1
"Dr. Muhammad Azhar Khan Jadoon","PTI",3,-1
"Zahoor Hussain Qureshi","PTI",2,-1
"Sardar Nasrullah Khan Drishak","PTI",2,-1
"Abdul Rehman Khan Kanju","PML-N",8,-0.75
"Khalil George","PML-N",5,-0.5
"Makhdoom Syed Ali Hassan Gillani","PML-N",9,-0.75
"Dr. Nisar Ahmad","PML-N",2,1
"Sardar Kamal Khan Bangulzai",NA,15,NA
"Dawar Khan Kundi","PTI",7,-0.714285714285714
"Khwaja Ghulam Rasool Koreja","PPPP",3,-1
"Asghar Ali Shah","PPPP",3,-1
"Syed Abrar Ali Shah","PPPP",3,0.333333333333333
"Mirza Ikhtiar Baig","PPPP",4,-1
"Shazia Sobia Aslam Soomro","PPPP",4,-1
"Syed Ali Qasim Gillani","PPPP",4,-1
"Zulfiqar Ali Khan","PTI",10,-0.6
"Ch. Iftikhar Nazir","PML-N",15,0.466666666666667
"Haji Imtiaz Ahmed Choudhary","PTI",15,-0.333333333333333
"Malik Karamat Ali","PTI",15,-0.333333333333333
"Nawabzada Iftikhar Ahmed Khan Babar","PPPP",2,0
"Rahat Aman Ullah Bhatti","PTI",18,-0.555555555555556
"Shaheen Naz Saifullah","PTI",18,-0.555555555555556
"Zulfiqar Ahmad","PML-N",4,-0.5
