"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills"
"Dr. Seemin Abdul Rehman Bokhari","PTI",27,0.000985062867895383,0.242241379310345,4.48533743484912e-05,0.003494358967626,8
"Seema Mohiuddin Jameeli","PML-N",54,0.0949574820727555,0.265846736045412,2.93657897298776e-05,0.00426688181813786,7
"Syed Hussain Tariq","PPPP",2,0,NA,0,0.00294117647059922,7
"Saira Afzal Tarar","PML-N",2,0,NA,0,0.00294117647059922,7
"Kiran Imran","PML-N",11,0,0.137745098039216,1.86350035679887e-05,0.00278472104330063,7
"Parveen Masood Bhatti","PML-N",26,0.0265571073189233,0.215325670498084,2.66347641959808e-06,0.00274640365373088,7
"Anusha Rahman Ahmad Khan","PML-N",2,0,NA,0,0.00294117647059922,7
"Kanwar Naveed Jamil","MQM",19,0.00108196191341627,0.171865443425076,2.41231257643909e-06,0.00119108205274471,7
"Ramesh Lal","PPPP",21,0.0524180432334116,0.227899432278994,7.22851045937821e-08,0.00467540234109477,7
"Dr. Muhammad Afzal Khan Dhandla","PTI",20,0.00197192538386793,0.228827361563518,0.00158358927834657,0.00201336847695029,7
"Rao Muhammad Ajmal Khan","PML-N",11,0,0.137745098039216,1.8635003567983e-05,0.00278472104330016,7
"Zartaj Gull","PTI",2,0,NA,0,0.00294117647059922,6
"Haider Ali","PTI",29,0.00750915058576979,0.22570281124498,0.00397486319024667,0.00237296117034194,6
"Nawab Muhammad Yousuf Talpur","PPPP",14,0,0.119371282922685,6.63098292956595e-07,0.00187379206283502,6
"Asad Mehmood","MMA",2,0,NA,0,0.00294117647059922,6
"Muhammad Pervaiz Malik","PML-N",3,0,0.16011396011396,1.46687738437127e-07,0.000686076798561042,6
"Fawad Ahmed","PTI",2,0,NA,0,0.00294117647059922,6
"Ghulam Sarwar Khan","PTI",7,0.000753284481310096,0.215656178050652,1.0826975700163e-05,0.00111912618519571,6
"Sahibzada Sibghatullah","SIC",6,0.00974847707318776,0.137610186092067,1.37694417508421e-13,0.00328038841591957,6
"Farrukh Khan","PML",8,0,0.176952141057934,0.000121677299681591,0.00150871799073936,6
"Agha Hassan Baloch","BNP-M",4,0,0.102892713291834,3.05421607474319e-05,0.00140429389977185,6
"Bilal Azhar Kayani","PML-N",9,0.0242271910073135,0.179209183673469,4.45393515069826e-06,0.00393413931326072,6
"Shahida Rehmani","PPPP",2,0,NA,0,0.00294117647059922,6
"Umar Ayub Khan","PTI",14,0,0.119371282922685,6.63098292962235e-07,0.00187379206283474,6
"Ch. Mahmood Bashir Virk","PML-N",2,0,NA,0,0.00294117647059922,6
"Muhammad Raza Hayat Hiraj","PML-N",14,0,0.119371282922685,6.64150594850696e-07,0.00192528907155015,6
"Mohammad Khan Sherani","JUI",15,0.00125308337619342,0.234166666666667,1.46381421175209e-06,0.00117071322961429,5
"Khalid Hussain Magsi","BAP",27,0.00279715382635251,0.20421511627907,8.68405707344006e-05,0.00275346566916282,5
"Ghous Bux Khan Mahar","GDA",14,0,0.119371282922685,6.63098292956595e-07,0.00187379206283416,5
"Agha Muhammad","JUI",20,0.00116725102114991,0.217660728117738,2.30948629362514e-06,0.00194327795023238,5
"Ghulam Bibi Bharwana","PTI",2,0,NA,0,0.00294117647059922,5
"Syed Khursheed Ahmed Shah","PPPP",2,0,NA,0,0.00294117647059922,5
"Sadaqat Ali Khan","PTI",11,0.000504443722341106,0.21850699844479,0.00455508688526641,0.00118741159095245,5
"Syed Mehmood Shah","MMA",14,0.000953149581698774,0.212878787878788,5.97715398928651e-06,0.00168927321308831,5
"Ch. Muhammad Ashraf","PML-N",17,1.86655850016128e-05,0.226430298146656,0.00157968361338107,0.001581604744265,5
"Bhawan Das","PML-N",23,0.00229494470674551,0.205409356725146,8.37398166774724e-07,0.00200392263119075,5
"Amirullah","PTI",16,0.000230478328102554,0.195138888888889,2.32747020819542e-05,0.00271592665804186,5
"Rai Hasan Nawaz Khan","PTI",16,0.000230478328102554,0.195138888888889,2.32747020819542e-05,0.00271592665804166,5
"Atta Ullah","PTI",25,0.00242024108764371,0.239556692242114,4.5613270562734e-05,0.00163883573313787,5
"Aaisha Gulalai","PTI",15,0.00137166306577034,0.200714285714286,2.15209327396502e-06,0.00233113758348047,5
"Sardar Muhammad Irfan Dogar","PML-N",20,0.0372863205903832,0.233001658374793,0.00159438748261405,0.00184597202170979,5
"Farhana Qamar","PML-N",25,0.00448318466042987,0.223370429252782,7.55555884057222e-07,0.00239616201046515,5
"Isphanyar M. Bhandara","PML-N",23,0.0772684459679282,0.249334516415262,9.37267110788019e-08,0.00161146712723558,5
"Saleh Muhammad","PTI",18,0,0.123788546255507,8.78648002542343e-05,0.00220016056790982,5
"Shahnaz Saleem Malik","PML-N",14,0.000144143091442842,0.126919602529359,2.3705360030235e-06,0.00202180384993514,5
"Muhammad Safdar","PML-N",28,0.00292213935234995,0.215160796324655,8.2772574653077e-07,0.00292483998049371,4
"Shahab-ud-Din Khan","PML-N",19,0.0102515280650355,0.22679580306699,1.04095238985176e-07,0.00218242918028316,4
"Mussarat Ahmadzeb","PTI",5,0.000679054095378819,0.214667685255921,7.04326931487191e-07,0.000627944277177113,4
"Zeb Jaffar","PML-N",4,0,0.132173095014111,2.12579007205702e-08,0.00280599223012885,4
"Asia Naz Tanoli","PML-N",2,0,NA,0,0.00294117647059922,4
"Kiran Haider","PML-N",28,0.00292213935234995,0.215160796324655,8.27725746542051e-07,0.00292483998049324,4
"Mehboob Shah","PTI",7,9.64351063158027e-05,0.22444089456869,3.61907123331563e-06,0.000867389569262966,4
"Imran Khan","PTI",16,0.00451114846748637,0.216820987654321,0.000620003329297189,0.00220664609039503,4
"Begum Tahira Bukhari","PML-N",28,0.00292213935234995,0.215160796324655,8.2772574653359e-07,0.00292483998049302,4
"Makhdoom Khusro Bakhtiar","PTI",18,0.00275496039147667,0.22588424437299,1.03102880139093e-07,0.0017757388779541,4
"Syed Iftikhar Ul Hassan","PML-N",5,0,0.174534161490683,2.722011393066e-05,0.00105899881800206,4
"Rana Mubashir lqbal","PML-N",5,0,0.174534161490683,2.72201139306586e-05,0.00105899881800193,4
