Source,Target,Weight,Type,Same_Party_Then,Cross_Party_Then,Same_Party_Now,Government_Bills_Together,Private_Bills_Together,Parliamentary_Years,Terms,Shared_Committees_Count,Shared_Committees
Farrukh Khan,Farrukh Khan,1,Undirected,1,0,1,0,1,4,15,0,
Mahesh Kumar Malani,Mahesh Kumar Malani,1,Undirected,1,0,1,0,1,1,15,0,
Asad Umar,Mian Najibuddin Awaisi,1,Undirected,0,1,0,0,1,2,15,0,
Shunila Ruth,Uzma Riaz,1,Undirected,1,0,1,0,1,2,15,0,
Shunila Ruth,Zahra Wadood Fatemi,1,Undirected,0,1,0,0,1,2,15,0,
Shunila Ruth,Zille Huma,1,Undirected,1,0,1,0,1,2,15,0,
Asad Umar,Dr. Muhammad Azhar Khan Jadoon,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Faheem Khan,Shandana Gulzar Khan,1,Undirected,1,0,1,0,1,2,15,0,
Faheem Khan,Shahid Ahmad,1,Undirected,1,0,1,0,1,2,15,0,
Faheem Khan,Fauzia Behram,1,Undirected,1,0,1,0,1,2,15,0,
Faheem Khan,Imran Khattak,1,Undirected,1,0,1,0,1,2,15,0,
Faheem Khan,Rana Muhammad Qasim Noon,1,Undirected,1,0,1,0,1,2,15,0,
Faheem Khan,Shaheen Naz Saifullah,1,Undirected,1,0,1,0,1,2,15,0,
Faheem Khan,Shunila Ruth,1,Undirected,1,0,1,0,1,2,15,0,
Faheem Khan,Seema Mohiuddin Jameeli,1,Undirected,0,1,0,0,1,2,15,0,
Kesoo Mal Kheeal Das,Zulfiqar Ahmad,1,Undirected,1,0,1,0,1,5,15,0,
Kesoo Mal Kheeal Das,Syed Javed Hassnain,1,Undirected,1,0,1,0,1,5,15,0,
Asad Umar,Siraj Muhammad Khan,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Sufyan Yousuf,Tahira Asif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Naveed Amir,Nawabzada Iftikhar Ahmed Khan Babar,1,Undirected,1,0,1,0,1,1,16,0,
Moulana Abdul Akbar Chitrali,Nafeesa Inayatullah Khan Khattak,1,Undirected,0,1,0,0,1,3,15,0,
Moulana Abdul Akbar Chitrali,Munir Khan Orakzai,1,Undirected,1,0,1,0,1,1,15,0,
Moulana Abdul Akbar Chitrali,Sardar Ayaz Sadiq,1,Undirected,0,1,0,0,1,3,15,0,
Naveed Amir,Sahibzada Sibghatullah,1,Undirected,0,1,0,0,1,1,16,0,
Naveed Amir,Naveed Amir,1,Undirected,1,0,1,0,1,1,16,0,
Naveed Amir,Syed Ali Qasim Gillani,1,Undirected,1,0,1,0,1,1,16,0,
Naveed Amir,Shazia Sobia Aslam Soomro,1,Undirected,1,0,1,0,1,1,16,0,
Moulana Abdul Akbar Chitrali,Sher Ali Arbab,1,Undirected,0,1,0,0,1,3,15,0,
Moulana Abdul Akbar Chitrali,Muhammad Ibrahim Khan,1,Undirected,0,1,0,0,1,3,15,0,
Kesoo Mal Kheal Das,Kesoo Mal Kheal Das,1,Undirected,1,0,1,0,1,1,16,0,
Moulana Abdul Akbar Chitrali,Zulfiqar Ali Khan,1,Undirected,0,1,0,0,1,3,15,0,
Syed Iftikhar Ul Hassan,Syed Naveed Qamar,1,Undirected,0,1,0,0,1,2,15,0,
Rana Mubashir lqbal,Syed Naveed Qamar,1,Undirected,0,1,0,0,1,2,15,0,
Syed Javed Hassnain,Zulfiqar Ahmad,1,Undirected,1,0,1,0,1,5,15,0,
Syed Javed Hassnain,Usman Khan Tarrakai,1,Undirected,0,1,0,0,1,3,15,0,
Syed Javed Hassnain,Zulfiqar Ali Khan,1,Undirected,0,1,0,0,1,3,15,0,
Asad Umar,Qaisar Ahmad Sheikh,1,Undirected,0,1,0,0,1,3,14,0,
Syed Fakhar Imam,Syed Sajid Mehdi,1,Undirected,0,1,0,0,1,1,15,0,
Qadir Khan Mandokhail,Salah-ud-Din,1,Undirected,0,1,0,0,1,5,15,0,
Riaz Fatyana,Romina Khurshid Alam,1,Undirected,0,1,0,0,1,3,15,0,
Riaz Fatyana,Sadaqat Ali Khan,1,Undirected,1,0,1,0,1,2,15,0,
Riaz Fatyana,Sher Ali Arbab,1,Undirected,1,0,1,0,1,4,15,0,
Riaz Fatyana,Sher Akbar Khan,1,Undirected,1,0,0,0,1,4,15,0,
Riaz Fatyana,Sardar Muhammad Irfan Dogar,1,Undirected,0,1,0,0,1,1,15,0,
Riaz Fatyana,Syed Sajid Mehdi,1,Undirected,0,1,0,0,1,1,15,0,
Mohsin Javed,Sher Akbar Khan,1,Undirected,0,1,0,0,1,3,15,0,
Mohsin Javed,Munir Khan Orakzai,1,Undirected,0,1,0,0,1,1,15,0,
Nusrat Wahid,Rai Muhammad Murtaza Iqbal,1,Undirected,1,0,1,0,1,2,15,0,
Qadir Khan Mandokhail,Tahira Aurangzeb,1,Undirected,0,1,0,0,1,5,15,0,
Dr. Shireen Mehrunnisa Mazari,Qaisar Ahmad Sheikh,1,Undirected,0,1,0,0,1,3,14,0,
Dr. Arif Alvi,Nafeesa Inayatullah Khan Khattak,1,Undirected,1,0,1,0,1,1,14,1,Parliamentary Affairs
James Iqbal,Kesoo Mal Kheeal Das,1,Undirected,0,1,0,0,1,5,15,0,
James Iqbal,Zulfiqar Ahmad,1,Undirected,0,1,0,0,1,5,15,0,
James Iqbal,Syed Javed Hassnain,1,Undirected,0,1,0,0,1,5,15,0,
James Iqbal,Syed Imran Ahmad Shah,1,Undirected,0,1,0,0,1,5,15,0,
James Iqbal,Shakila Khalid Chaudhary,1,Undirected,0,1,0,0,1,5,15,0,
James Iqbal,Samina Matloob,1,Undirected,0,1,0,0,1,5,15,0,
James Iqbal,Sher Ali Arbab,1,Undirected,0,1,0,0,1,4,15,0,
James Iqbal,Naz Baloch,1,Undirected,0,1,0,0,1,4,15,0,
James Iqbal,Mehnaz Akber Aziz,1,Undirected,0,1,0,0,1,4,15,0,
James Iqbal,Riaz Fatyana,1,Undirected,0,1,0,0,1,4,15,0,
James Iqbal,Sher Akbar Khan,1,Undirected,0,1,0,0,1,4,15,0,
Dr. Arif Alvi,Ghulam Sarwar Khan,1,Undirected,1,0,1,0,1,1,14,1,Parliamentary Affairs
Dr. Arif Alvi,Imran Zafar Leghari,1,Undirected,0,1,0,0,1,3,14,0,
Dr. Arif Alvi,Murad Saeed,1,Undirected,1,0,1,0,1,3,14,0,
Mian Najibuddin Awaisi,Raja Khurram Shahzad Nawaz,1,Undirected,0,1,0,0,1,2,15,0,
Asad Umar,Riaz Fatyana,1,Undirected,1,0,1,0,1,2,15,0,
Asad Umar,Syed Fakhar Imam,1,Undirected,1,0,1,0,1,2,15,0,
Mian Najibuddin Awaisi,Rana Sana Ullah Khan,1,Undirected,1,0,1,0,1,1,15,0,
Munaza Hassan,Shazia Marri,1,Undirected,0,1,0,0,1,1,16,0,
Mahreen Razzaq Bhutto,Mahreen Razzaq Bhutto,1,Undirected,1,0,1,0,1,1,16,0,
Mrs. Mahreen Razaque Bhutto,Syed Rafiullah,1,Undirected,1,0,1,0,1,4,15,0,
Dr. Ramesh Kumar Vankwani,Ramesh Lal,1,Undirected,0,1,0,0,1,1,14,0,
Seema Mohiuddin Jameeli,Shaheen Naz Saifullah,1,Undirected,0,1,0,0,1,2,15,0,
Seema Mohiuddin Jameeli,Shunila Ruth,1,Undirected,0,1,0,0,1,2,15,0,
Seema Mohiuddin Jameeli,Uzma Riaz,1,Undirected,0,1,0,0,1,2,15,0,
Seema Mohiuddin Jameeli,Zahra Wadood Fatemi,1,Undirected,1,0,1,0,1,2,15,0,
Seema Mohiuddin Jameeli,Zille Huma,1,Undirected,0,1,0,0,1,2,15,0,
Syed Hussain Tariq,Syed Hussain Tariq,1,Undirected,1,0,1,0,1,4,15,0,
Munaza Hassan,Qaisar Jamal,1,Undirected,1,0,1,0,1,3,14,0,
Munaza Hassan,Qaisar Ahmad Sheikh,1,Undirected,0,1,0,0,1,3,14,0,
Seema Mohiuddin Jameeli,Shahab-ud-Din Khan,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Parveen Masood Bhatti,Parveen Masood Bhatti,1,Undirected,1,0,1,0,1,5,14,0,
Parveen Masood Bhatti,Salman Hanif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Parveen Masood Bhatti,Qaisar Ahmad Sheikh,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Parveen Masood Bhatti,Shahab-ud-Din Khan,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Changaze Ahmed Khan,Changaze Ahmed Khan,1,Undirected,1,0,1,0,1,1,16,0,
Syed Amin-ul-Haque,Syed Naveed Qamar,1,Undirected,0,1,0,0,1,1,16,0,
Syed Amin-ul-Haque,Syed Hafeezuddin,1,Undirected,1,0,1,0,1,1,16,0,
Syed Amin-ul-Haque,Syed Mustafa Kamal,1,Undirected,1,0,1,0,1,1,16,0,
Syed Hafeezuddin,Syed Mustafa Kamal,1,Undirected,1,0,1,0,1,1,16,0,
Muhammad Javed Hanif Khan,Syed Amin-ul-Haque,1,Undirected,1,0,1,0,1,1,16,0,
Muhammad Javed Hanif Khan,Syed Hafeezuddin,1,Undirected,1,0,1,0,1,1,16,0,
Muhammad Javed Hanif Khan,Syed Mustafa Kamal,1,Undirected,1,0,1,0,1,1,16,0,
Dr. Shireen Mehrunnisa Mazari,Nafeesa Inayatullah Khan Khattak,1,Undirected,1,0,1,0,1,1,14,1,Parliamentary Affairs
Qaisar Ahmad Sheikh,Salman Hanif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Dr. Shireen Mehrunnisa Mazari,Ghulam Sarwar Khan,1,Undirected,1,0,1,0,1,1,14,1,Parliamentary Affairs
Isphanyar M. Bhandara,Sanjay Perwani,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Isphanyar M. Bhandara,Ramesh Lal,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Isphanyar M. Bhandara,Syed Asif Hasnain,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Isphanyar M. Bhandara,Syed Ali Raza Abidi,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Isphanyar M. Bhandara,Shaikh Salahuddin,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Isphanyar M. Bhandara,S. A. Iqbal Qadri,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Dr. Shireen Mehrunnisa Mazari,Imran Zafar Leghari,1,Undirected,0,1,0,0,1,3,14,0,
Isphanyar M. Bhandara,Kiran Haider,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Marvi Memon,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Leila Khan,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Mohammad Salman Khan Baloch,Tahira Asif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Dr. Shireen Mehrunnisa Mazari,Murad Saeed,1,Undirected,1,0,1,0,1,3,14,0,
Abdul Waseem,Tahira Asif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Seema Mohiuddin Jameeli,Seema Mohiuddin Jameeli,1,Undirected,1,0,1,0,1,5,14,0,
Hamid Ul Haq,Qaisar Ahmad Sheikh,1,Undirected,0,1,0,0,1,3,14,0,
Amirullah,Amirullah,1,Undirected,1,0,1,0,1,2,14,0,
Dr. Ramesh Kumar Vankwani,Saman Sultana Jafri,1,Undirected,0,1,0,0,1,4,14,0,
Dr. Ramesh Kumar Vankwani,Muhammad Muzammil Qureshi,1,Undirected,0,1,0,0,1,4,14,0,
Dr. Ramesh Kumar Vankwani,Mrs. Aliya Kamran,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Syed Asif Hasnain,Syed Asif Hasnain,1,Undirected,1,0,1,0,1,2,14,0,
Amirullah,Qaisar Ahmad Sheikh,1,Undirected,0,1,0,0,1,3,14,0,
Shehryar Afridi,Shehryar Afridi,1,Undirected,1,0,1,0,1,2,14,0,
Imran Khattak,Sajid Khan,1,Undirected,1,0,1,0,1,2,15,0,
Muhammad Rehan Hashmi,Tahira Asif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Muhammad Rehan Hashmi,Syed Ali Raza Abidi,1,Undirected,1,0,1,0,1,1,14,1,"Law, Justice and Human Rights"
Imran Khattak,Mehboob Shah,1,Undirected,1,0,1,0,1,2,15,0,
Salman Hanif,Seema Mohiuddin Jameeli,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Salman Hanif,Shahab-ud-Din Khan,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Qaisar Ahmad Sheikh,Rai Hasan Nawaz Khan,1,Undirected,0,1,0,0,1,3,14,0,
Qaisar Ahmad Sheikh,Seema Mohiuddin Jameeli,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Mussarat Ahmadzeb,Sher Akbar Khan,1,Undirected,0,1,0,0,1,4,14,0,
Mussarat Ahmadzeb,Naeema Kishwar Khan,1,Undirected,0,1,0,0,1,5,14,0,
Nafisa Shah,Nafisa Shah,1,Undirected,1,0,1,0,1,1,16,0,
Imran Khattak,Rai Muhammad Murtaza Iqbal,1,Undirected,1,0,1,0,1,2,15,0,
Muhammad Azam Khan Swati,Muhammad Farogh Nasim,1,Undirected,0,1,0,1,0,2,15,0,
Muhammad Azam Khan Swati,Shahid Khaqan Abbasi,1,Undirected,0,1,0,0,1,2,15,0,
Muhammad Azam Khan Swati,Rana Sana Ullah Khan,1,Undirected,0,1,0,0,1,2,15,0,
Khawaja Sohail Mansoor,Sanjay Perwani,1,Undirected,1,0,1,0,1,3,14,0,
Khawaja Sohail Mansoor,Saman Sultana Jafri,1,Undirected,1,0,1,0,1,5,14,0,
Khawaja Sohail Mansoor,Tahira Asif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Imran Khattak,Usman Khan Tarrakai,1,Undirected,1,0,1,0,1,3,15,0,
Imran Khattak,Sher Ali Arbab,1,Undirected,1,0,1,0,1,3,15,0,
Imran Khattak,Muhammad Ibrahim Khan,1,Undirected,1,0,1,0,1,3,15,0,
Imran Khattak,Zulfiqar Ali Khan,1,Undirected,1,0,1,0,1,3,15,0,
Imran Khattak,Syed Javed Hassnain,1,Undirected,0,1,0,0,1,3,15,0,
Imran Khattak,Moulana Abdul Akbar Chitrali,1,Undirected,0,1,0,0,1,3,15,0,
Qaisar Jamal,Qaisar Jamal,1,Undirected,1,0,1,0,1,2,14,0,
Hamid Ul Haq,Qaisar Jamal,1,Undirected,1,0,1,0,1,3,14,0,
Gul Dad Khan,Mujahid Ali,1,Undirected,1,0,1,0,1,3,15,0,
Maulvi Asmatullah,Munir Khan Orakzai,1,Undirected,1,0,1,0,1,1,15,0,
Maulvi Asmatullah,Mrs. Aliya Kamran,1,Undirected,1,0,1,0,1,1,15,0,
Maulvi Asmatullah,Shahida Akhtar Ali,1,Undirected,1,0,0,0,1,1,15,0,
Maulvi Asmatullah,Sardar Ayaz Sadiq,1,Undirected,0,1,0,0,1,3,15,0,
Gul Dad Khan,Zulfiqar Ali Khan,1,Undirected,1,0,1,0,1,3,15,0,
Gul Dad Khan,Syed Javed Hassnain,1,Undirected,0,1,0,0,1,3,15,0,
Gul Dad Khan,Haider Ali,1,Undirected,1,0,1,0,1,3,15,0,
Gul Dad Khan,Moulana Abdul Akbar Chitrali,1,Undirected,0,1,0,0,1,3,15,0,
Imran Khattak,Shandana Gulzar Khan,1,Undirected,1,0,1,0,1,2,15,0,
Imran Khattak,Shahid Ahmad,1,Undirected,1,0,1,0,1,2,15,0,
Imran Khattak,Rana Muhammad Qasim Noon,1,Undirected,1,0,1,0,1,2,15,0,
Mussarat Ahmadzeb,Sahib Zada Muhammad Yaqub,1,Undirected,0,1,0,0,1,4,14,0,
Mussarat Ahmadzeb,Sahibzada Tariq Ullah,1,Undirected,0,1,0,0,1,4,14,0,
Sher Akbar Khan,Sher Ali Arbab,1,Undirected,1,0,0,0,1,4,15,0,
Imran Khattak,Raja Khurram Shahzad Nawaz,1,Undirected,1,0,1,0,1,2,15,0,
Imran Khattak,Munaza Hassan,1,Undirected,1,0,1,0,1,1,14,1,Parliamentary Affairs
Imran Khattak,Imran Zafar Leghari,1,Undirected,0,1,0,0,1,3,14,0,
Abdul Shakoor,Abdul Shakoor,1,Undirected,1,0,1,1,0,5,15,0,
Abdul Shakoor,Munir Khan Orakzai,1,Undirected,1,0,1,0,1,1,15,0,
Abdul Shakoor,Afreen Khan,1,Undirected,1,0,1,0,1,1,15,0,
Abdul Shakoor,Kamal Uddin,1,Undirected,1,0,1,0,1,1,15,0,
Abdul Shakoor,Mrs. Aliya Kamran,1,Undirected,1,0,1,0,1,1,15,0,
Abdul Shakoor,Shahida Akhtar Ali,1,Undirected,1,0,0,0,1,1,15,0,
Abdul Shakoor,Sardar Ayaz Sadiq,1,Undirected,0,1,0,0,1,3,15,0,
Imran Khattak,Makhdoom Shah Mahmood Qureshi,1,Undirected,1,0,1,0,1,3,14,0,
Imran Khattak,Murad Saeed,1,Undirected,1,0,1,0,1,3,14,0,
Imran Khattak,Jamshed Thomas,1,Undirected,1,0,1,0,1,2,15,0,
Mujahid Ali,Zulfiqar Ali Khan,1,Undirected,1,0,1,0,1,3,15,0,
Mujahid Ali,Syed Javed Hassnain,1,Undirected,0,1,0,0,1,3,15,0,
Nooreen Farooq Khan,Samina Matloob,1,Undirected,0,1,0,0,1,2,15,0,
Nooreen Farooq Khan,Rahat Aman Ullah Bhatti,1,Undirected,1,0,1,0,1,2,15,0,
Nooreen Farooq Khan,Zahra Wadood Fatemi,1,Undirected,0,1,0,0,1,2,15,0,
Nooreen Farooq Khan,Zille Huma,1,Undirected,1,0,1,0,1,2,15,0,
Gul Zafar Khan,Usman Khan Tarrakai,1,Undirected,1,0,1,0,1,3,15,0,
Gul Zafar Khan,Imran Khattak,1,Undirected,1,0,1,0,1,3,15,0,
Gul Zafar Khan,Sher Ali Arbab,1,Undirected,1,0,1,0,1,3,15,0,
Gul Zafar Khan,Muhammad Ibrahim Khan,1,Undirected,1,0,1,0,1,3,15,0,
Gul Zafar Khan,Mujahid Ali,1,Undirected,1,0,1,0,1,3,15,0,
Gul Zafar Khan,Zulfiqar Ali Khan,1,Undirected,1,0,1,0,1,3,15,0,
Gul Zafar Khan,Syed Javed Hassnain,1,Undirected,0,1,0,0,1,3,15,0,
Gul Zafar Khan,Haider Ali,1,Undirected,1,0,1,0,1,3,15,0,
Gul Zafar Khan,Moulana Abdul Akbar Chitrali,1,Undirected,0,1,0,0,1,3,15,0,
Gul Dad Khan,Usman Khan Tarrakai,1,Undirected,1,0,1,0,1,3,15,0,
Gul Dad Khan,Imran Khattak,1,Undirected,1,0,1,0,1,3,15,0,
Gul Dad Khan,Sher Ali Arbab,1,Undirected,1,0,1,0,1,3,15,0,
Kiran Haider,Makhdoom Syed Ali Hassan Gillani,1,Undirected,1,0,1,0,1,1,14,1,"Law, Justice and Human Rights"
Gul Dad Khan,Muhammad Ibrahim Khan,1,Undirected,1,0,1,0,1,3,15,0,
Kiran Haider,Leila Khan,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Ahmad Hussain,Qadir Khan Mandokhail,1,Undirected,0,1,0,0,1,5,15,0,
Mehnaz Akber Aziz,Syed Fakhar Imam,1,Undirected,0,1,0,0,1,2,15,0,
Usman Khan Tarrakai,Zulfiqar Ali Khan,1,Undirected,1,0,1,0,1,3,15,0,
Mehnaz Akber Aziz,Sher Ali Arbab,1,Undirected,0,1,0,0,1,4,15,0,
Mehnaz Akber Aziz,Naz Baloch,1,Undirected,0,1,0,0,1,4,15,0,
Sher Ali Arbab,Usman Khan Tarrakai,1,Undirected,1,0,1,0,1,3,15,0,
Mehnaz Akber Aziz,Sher Akbar Khan,1,Undirected,0,1,0,0,1,4,15,0,
Mehnaz Akber Aziz,Moulana Abdul Akbar Chitrali,1,Undirected,0,1,0,0,1,4,15,0,
Sardar Akhter Jan Mengal,Sardar Akhter Jan Mengal,1,Undirected,1,0,1,0,1,3,15,0,
Sher Ali Arbab,Zulfiqar Ali Khan,1,Undirected,1,0,1,0,1,3,15,0,
Nooreen Farooq Khan,Shaheen Naz Saifullah,1,Undirected,1,0,1,0,1,2,15,0,
Nooreen Farooq Khan,Shunila Ruth,1,Undirected,1,0,1,0,1,2,15,0,
Nooreen Farooq Khan,Seema Mohiuddin Jameeli,1,Undirected,0,1,0,0,1,2,15,0,
Mehnaz Akber Aziz,Zille Huma,1,Undirected,0,1,0,0,1,2,15,0,
Sher Ali Arbab,Syed Javed Hassnain,1,Undirected,0,1,0,0,1,3,15,0,
Mehnaz Akber Aziz,Sadaqat Ali Khan,1,Undirected,0,1,0,0,1,2,15,0,
Mujahid Ali,Sajid Khan,1,Undirected,1,0,1,0,1,2,15,0,
Isphanyar M. Bhandara,Seema Mohiuddin Jameeli,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Parveen Masood Bhatti,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Makhdoom Khusro Bakhtiar,1,Undirected,1,0,0,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Salman Hanif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Qaisar Ahmad Sheikh,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Shahab-ud-Din Khan,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Isphanyar M. Bhandara,Muhammad Safdar,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Mujahid Ali,Zille Huma,1,Undirected,1,0,1,0,1,2,15,0,
Mujahid Ali,Rai Muhammad Murtaza Iqbal,1,Undirected,1,0,1,0,1,2,15,0,
Mujahid Ali,Sardar Ayaz Sadiq,1,Undirected,0,1,0,0,1,3,15,0,
Mujahid Ali,Sher Ali Arbab,1,Undirected,1,0,1,0,1,3,15,0,
Dr. Ramesh Kumar Vankwani,Reeta Ishwar,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Dr. Ramesh Kumar Vankwani,Romina Khurshid Alam,1,Undirected,1,0,0,0,1,1,14,1,"Law, Justice and Human Rights"
Asma Hadeed,Rai Muhammad Murtaza Iqbal,1,Undirected,1,0,1,0,1,2,15,0,
Dr. Ramesh Kumar Vankwani,Sardar Kamal Khan Bangulzai,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Asma Hadeed,Sher Ali Arbab,1,Undirected,1,0,1,0,1,4,15,0,
Asma Hadeed,Naz Baloch,1,Undirected,0,1,0,0,1,4,15,0,
Dr. Ramesh Kumar Vankwani,Mohammad Khan Sherani,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Asma Hadeed,Riaz Fatyana,1,Undirected,1,0,1,0,1,4,15,0,
Asma Hadeed,Sher Akbar Khan,1,Undirected,1,0,0,0,1,4,15,0,
Mehnaz Akber Aziz,Shaheen Naz Saifullah,1,Undirected,0,1,0,0,1,2,15,0,
Mehnaz Akber Aziz,Shunila Ruth,1,Undirected,0,1,0,0,1,2,15,0,
Mehnaz Akber Aziz,Seema Mohiuddin Jameeli,1,Undirected,1,0,1,0,1,2,15,0,
Mehnaz Akber Aziz,Uzma Riaz,1,Undirected,0,1,0,0,1,2,15,0,
Mehnaz Akber Aziz,Samina Matloob,1,Undirected,1,0,1,0,1,2,15,0,
Mehnaz Akber Aziz,Rahat Aman Ullah Bhatti,1,Undirected,0,1,0,0,1,2,15,0,
Mehnaz Akber Aziz,Zahra Wadood Fatemi,1,Undirected,1,0,1,0,1,2,15,0,
Mehnaz Akber Aziz,Muhammad Ibrahim Khan,1,Undirected,0,1,0,0,1,2,15,0,
Dr. Ramesh Kumar Vankwani,Sahibzada Tariq Ullah,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Dr. Ramesh Kumar Vankwani,Sher Akbar Khan,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Asma Hadeed,Shunila Ruth,1,Undirected,1,0,1,0,1,2,15,0,
Asma Hadeed,Seema Mohiuddin Jameeli,1,Undirected,0,1,0,0,1,2,15,0,
Asma Hadeed,Uzma Riaz,1,Undirected,1,0,1,0,1,2,15,0,
Asma Hadeed,Samina Matloob,1,Undirected,0,1,0,0,1,2,15,0,
Asma Hadeed,Rahat Aman Ullah Bhatti,1,Undirected,1,0,1,0,1,2,15,0,
Dr. Ramesh Kumar Vankwani,Qari Muhammad Yousaf,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Asma Hadeed,Zahra Wadood Fatemi,1,Undirected,0,1,0,0,1,2,15,0,
Asma Hadeed,Muhammad Ibrahim Khan,1,Undirected,1,0,1,0,1,2,15,0,
Dr. Ramesh Kumar Vankwani,Muhammad Gohar Shah,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Asma Hadeed,Jamshed Thomas,1,Undirected,1,0,1,0,1,2,15,0,
Asma Hadeed,Sajid Khan,1,Undirected,1,0,1,0,1,2,15,0,
Asma Hadeed,Mehboob Shah,1,Undirected,1,0,1,0,1,2,15,0,
Dr. Nikhat Shakeel Khan,Tahira Asif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Asma Hadeed,Mujahid Ali,1,Undirected,1,0,1,0,1,2,15,0,
Asma Hadeed,Shahid Ahmad,1,Undirected,1,0,1,0,1,2,15,0,
Asma Hadeed,Rana Muhammad Qasim Noon,1,Undirected,1,0,1,0,1,2,15,0,
Asma Hadeed,Shaheen Naz Saifullah,1,Undirected,1,0,1,0,1,2,15,0,
Kiran Haider,Parveen Masood Bhatti,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Mohammad Khan Sherani,Muhammad Gohar Shah,1,Undirected,1,0,1,0,1,1,14,1,"Law, Justice and Human Rights"
Kiran Haider,Salman Hanif,1,Undirected,1,0,1,0,1,1,14,1,Interior and Narcotics Control
Nafeesa Inayatullah Khan Khattak,Syed Fakhar Imam,1,Undirected,1,0,1,0,1,2,15,0,
Mohammad Khan Sherani,Mrs. Aliya Kamran,1,Undirected,1,0,0,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Shahida Akhtar Ali,1,Undirected,1,0,1,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Reeta Ishwar,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Phyllis Azeem,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Romina Khurshid Alam,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Sardar Kamal Khan Bangulzai,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Sahibzada Tariq Ullah,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Sher Akbar Khan,1,Undirected,0,1,0,0,1,1,14,1,"Law, Justice and Human Rights"
Mohammad Khan Sherani,Qari Muhammad Yousaf,1,Undirected,1,0,1,0,1,1,14,1,"Law, Justice and Human Rights"
