Source,Target,Weight,Type,Same_Party_Then,Cross_Party_Then,Same_Party_Now,Government_Bills_Together,Private_Bills_Together,Parliamentary_Years,Terms,Shared_Committees_Count,Shared_Committees
Dr. Azra Fazal Pecheho,Ms. Nafisa Shah,17,Undirected,17,0,1,0,17,1;2,14,4,"Cabinet Secretariat;Law, Justice and Human Rights;National Health Services, Regulations and Coordination;Parliamentary Affairs"
Abdul Waseem,Iqbal Muhammad Ali Khan,17,Undirected,17,0,1,0,17,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Abdul Waseem,Dr. Muhammad Farooq Sattar,17,Undirected,17,0,1,0,17,1;3;4;5,14,1,"Law, Justice and Human Rights"
Mrs. Aliya Kamran,Shahida Akhtar Ali,17,Undirected,17,0,0,0,17,1;2;3,14;15,3,"Defence;Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Waseem,Dr. Fouzia Hameed,17,Undirected,17,0,1,0,17,3;4;5,14,0,
Iqbal Muhammad Ali Khan,Sajid Ahmed,17,Undirected,17,0,1,0,17,2;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Dr. Muhammad Farooq Sattar,Dr. Nikhat Shakeel Khan,17,Undirected,17,0,1,0,17,1;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Fouzia Hameed,Sajid Ahmed,16,Undirected,16,0,1,0,16,3;4;5,14,0,
S. A. Iqbal Qadri,S. A. Iqbal Qadri,16,Undirected,16,0,1,0,16,1;2;5,14,0,
Nafeesa Inayatullah Khan Khattak,Usama Qadri,16,Undirected,0,16,0,0,16,1;2;3,15,0,
Kishwer Zehra,Nafeesa Inayatullah Khan Khattak,16,Undirected,0,16,0,0,16,1;2;3,15,0,
Abdul Waseem,Sanjay Perwani,16,Undirected,16,0,1,0,16,2;5,14,1,"Law, Justice and Human Rights"
Dr. Muhammad Farooq Sattar,Muhammad Muzammil Qureshi,16,Undirected,16,0,1,0,16,1;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Dr. Muhammad Farooq Sattar,Syed Waseem Hussain,16,Undirected,16,0,1,0,16,1;3;4;5,14,1,"Law, Justice and Human Rights"
Iqbal Muhammad Ali Khan,Nafeesa Inayatullah Khan Khattak,16,Undirected,0,16,0,0,16,1;2;3,15,0,
S. A. Iqbal Qadri,Sanjay Perwani,16,Undirected,16,0,1,0,16,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Sajid Ahmed,Saman Sultana Jafri,16,Undirected,16,0,1,0,16,1;2;3;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Iqbal Muhammad Ali Khan,Mehboob Alam,16,Undirected,16,0,1,0,16,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Sanjay Perwani,Syed Ali Raza Abidi,16,Undirected,16,0,1,0,16,1;3;4;5,14,1,"Law, Justice and Human Rights"
Syed Ali Raza Abidi,Syed Waseem Hussain,15,Undirected,15,0,1,0,15,1;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Muhammad Farooq Sattar,Syed Ali Raza Abidi,15,Undirected,15,0,1,0,15,1;4;5,14,1,"Law, Justice and Human Rights"
Dr. Muhammad Farooq Sattar,Mehboob Alam,15,Undirected,15,0,1,0,15,1;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Khalid Maqbool Siddiqui,Iqbal Muhammad Ali Khan,15,Undirected,15,0,1,0,15,3;4;5,14;15,0,
Dr. Arif Alvi,Dr. Shireen Mehrunnisa Mazari,15,Undirected,15,0,1,0,15,1;2;3,14,1,Parliamentary Affairs
Ahsan Iqbal,Ahsan Iqbal,15,Undirected,15,0,1,14,1,1;4;5,14;15,0,
Dr. Fouzia Hameed,Syed Waseem Hussain,15,Undirected,15,0,1,0,15,3;4;5,14,0,
Kishwer Zehra,Mehboob Alam,15,Undirected,15,0,1,0,15,2;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Fouzia Hameed,Iqbal Muhammad Ali Khan,15,Undirected,15,0,1,0,15,3;4;5,14,0,
Ali Nawaz Awan,Nafeesa Inayatullah Khan Khattak,15,Undirected,15,0,1,0,15,2;3;4,15,0,
Ali Nawaz Awan,Raja Khurram Shahzad Nawaz,15,Undirected,15,0,1,0,15,2;3;4,15,0,
Dr. Nikhat Shakeel Khan,Mohammad Salman Khan Baloch,15,Undirected,15,0,1,0,15,1;2;4;5,14,1,"Law, Justice and Human Rights"
Qadir Khan Mandokhail,Qadir Khan Mandokhail,15,Undirected,15,0,1,0,15,4;5,15,0,
